sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
04/06/2004,21/06/2004,Thailand,THA,"Phrae, Nakhon Sawan, Sukhothai, Phichit, Mae Hong Son, Tak, Nan, Phayao, Phitsanulok, Loei provinces",,,,Kph,Storm,"Tropical cyclone",Flood,Rain,1,4000,0,0,"Chanthu (Gener/08W)",2004-0258
06/08/2004,30/08/2004,Thailand,THA,"Na Di, Prachantakham districts (Phachinburi province), Kap Choeng, Prasat, Chom Phra, Tha Tum, Muang Surin districts (Surin province), Satuk district (Buriram province), Muang Ubon Ratchathani district (Ubon Ratchathani province), Phaya Mengrai, Wiang Chai districts (Chiang Rai province), Rasi Salai district (Si Saket province), Yasothon, Roi Et, Nakhon Nayok, Kalasin provinces",,,154400,Km2,Flood,"Riverine flood",--,--,9,500000,0,0,,2004-0441
15/09/2004,15/09/2004,Thailand,THA,"Chiang Rai, Chiang Mai, Ubon Ratchathani provinces",,,,Km2,Flood,"Flash flood",--,--,2,2000,0,0,,2004-0501
10/12/2004,18/12/2004,Thailand,THA,"Su Kirin district (Narathiwat province), Muang Nakhon Si Thammarat, Hua Sai, Pak Phanang, Ron Phibun districts (Nakhon Si Thammarat province), Muang Phatthalung, Kong Ra districts (Phatthalung province), Than To district (Yala province)",,,,Km2,Flood,"Riverine flood",--,--,2,5000,175000,0,,2004-0635
21/05/2005,21/05/2005,Thailand,THA,"Lampang, Nan provinces",,,,Kph,Storm,--,Hail,--,0,1500,246,0,,2005-0303
13/08/2005,31/08/2005,Thailand,THA,"Chiang Mai, Mae Hong Son, Chiang Rai, Phayao, Lampang, Nan, Lamphun, Nakhon Phanom, Tak provinces",,,90160,Km2,Flood,"Riverine flood",--,--,21,119310,121000,0,,2005-0435
26/09/2005,30/09/2005,Thailand,THA,"Lampang, Chiang Mai, Chiang Rai, Phayao, Mae Hong Son, Phrae, Yasothon, Ubon Ratchathani provinces",,,,Kph,Storm,"Tropical cyclone","Broken Dam/Burst ban",--,10,2000,20000,0,Damrey,2005-0540
23/11/2005,12/01/2006,Thailand,THA,"Songkhla, Trang, Satun, Nakhon Si Thammarat, Phatthalung, Samut Prakarn, Samut Sakhon, Samut Songkham, Chumphon, Narathiwat, Pattani, Yala provinces",,,,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,55,700000,97000,0,,2005-0690
/01/2005,/03/2005,Thailand,THA,"Ang Thong, Bangkok, Buriram, Chachoengsao, Chainat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chonburi, Chumphon, Kalasin, Kampaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Lampang, Lamphun, Loei, Lopburi, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan
Narathiwat, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Phuket, Prachuap Khilikhan, Ranong, Ratchaburi, Rayong, Roi Et, Sakon Nakhon, Samut Prakarn, Samut Sakhon, Samut Songkham, Saraburi, Satun, Si Saket, Singburi, Songkhla, Sukhothai, Suphanburi, Surat Thani, Surin, Tak, Trad, Trang, Uthai Thani, Uttaradit, Yala, Yasothon, Amnat Charoen, Nong Bua Lamphu, Phachinburi, Sa Kaeo, Ubon Ratchathani, Udon Thani provinces",,,21600,Km2,Drought,Drought,--,--,0,0,420000,0,,2005-9153
10/02/2006,18/02/2006,Thailand,THA,"Narathiwat, Nakhon Si Thammarat, Chumphon, Surat Thani provinces",4.33,102.54,,Km2,Flood,"Riverine flood",--,--,0,2000,0,0,,2006-0113
22/05/2006,11/06/2006,Thailand,THA,"Nan, Phrae, Lampang, Sukhothai, Uttaradit provinces",18.18,100.15,78280,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,116,342895,25000,0,,2006-0270
20/08/2006,13/12/2006,Thailand,THA,"Chiang Rai, Chiang Mai, Mae Hong Son, Lamphun, Lampang, Phrae, Phayao, Uttaradit, Phetchabun, Phitsanulok, Sukhothai, Tak, Kampaeng Phet, Nakhon Sawan, Uthai Thani, Phichit, Chainat, Singburi, Ang Thong, Phra Nakhon Si Ayudhya, Lopburi, Saraburi, Pathum Thani, Nonthaburi, Nakhon Nayok, Chachoengsao, Phachinburi, Chonburi, Chanthaburi, Chaiyaphum, Khon Kaen, Surat Thani, Nakhon Si Thammarat, Phangnga provinces",18.76,100.02,175800,Km2,Flood,"Riverine flood","Slide (land, mud, sn",--,164,2212413,9940,0,,2006-0530
14/04/2007,15/04/2007,Thailand,THA,"Sai Rung, Phrai Sawan areas (Yan Ta Khao district, Trang province)",7.44,99.65,290,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,38,0,0,0,,2007-0142
11/05/2007,21/05/2007,Thailand,THA,"Phichit, Phrae, Uttaradit, Nakhon Sawan, Nan, Phitsanulok provinces",17.21,100.34,38380,Km2,Flood,"Riverine flood",--,--,0,1000,0,0,,2007-0181
05/09/2007,10/11/2007,Thailand,THA,"Phetchabun, Loei, Kalasin, Mukdahan, Chiang Rai, Phichit provinces",16.82,102.48,139500,Km2,Flood,"Riverine flood",--,--,10,17000,0,0,"Monsoonal rain",2007-0446
22/10/2007,29/10/2007,Thailand,THA,"Chumphon, Surat Thani provinces",9.72,99,13140,Km2,Flood,"Riverine flood",--,--,2,100000,1500,0,,2007-0530
07/12/2007,21/12/2007,Thailand,THA,"Narathiwat, Yala, Songkhla provinces",3.89,102.93,,Km2,Flood,"Riverine flood","Broken Dam/Burst ban",--,3,65000,0,0,,2007-0611
02/05/2008,03/05/2008,Thailand,THA,"Tak province",,,,Kph,Storm,"Tropical cyclone",Flood,--,0,1000,0,0,"Cyclone Nargis",2008-0184
11/08/2008,20/08/2008,Thailand,THA,"Chiang Rai, Loei, Nakhon Phanom, Nan, Nong Khai, Phayao, Phitsanulok, Sakon Nakhon, Udon Thani, Uttaradit provinces",17.31,103.66,,Kph,Storm,"Tropical cyclone",Flood,--,0,0,0,0,"Tropical storm ""Kammuri"" (Julian)",2008-0329
13/09/2008,07/10/2008,Thailand,THA,"Phitsanulok, Lopburi, Phra Nakhon Si Ayudhya",,,,Km2,Flood,"Riverine flood",--,--,18,839573,16000,0,,2008-0430
20/11/2008,20/12/2008,Thailand,THA,"Nakhon Si Thammarat, Surat Thani, Narathiwat, Phatthalung, Songkhla, Yala, Trang, Chumphon, Pattani provinces",7.55,100.1,15650,Km2,Flood,"Flash flood",--,--,21,700000,11500,0,,2008-0547
29/12/2008,19/01/2009,Thailand,THA,"Phatthalung, Yala, Narathiwat provinces",6.64,101.1,,Km2,Flood,"Flash flood",--,--,0,32584,344,0,,2008-0634
/04/2008,//2008,Thailand,THA,"Ang Thong, Chainat, Chaiyaphum, Chiang Rai, Kalasin, Kampaeng Phet, Khon Kaen, Lampang, Loei, Lopburi, Maha Sarakham, Mukdahan, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nan, Nong Bua Lamphu, Nong Khai, Phayao, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Sakon Nakhon, Saraburi, Singburi, Sukhothai, Suphanburi, Udon Thani, Uthai Thani, Uttaradit provinces",,,,Km2,Drought,Drought,--,--,0,10000000,0,0,,2008-9154
07/11/2009,08/11/2009,Thailand,THA,"Songkhla, Narathiwat, Pattani, Yala, Chumphon, Surat Thani, Nakhon Si Thammarat, Phatthalung provinces",18.48,-91.05,35580,Km2,Flood,"Riverine flood",--,--,15,200000,0,0,,2009-0513
10/10/2010,10/12/2010,Thailand,THA,"Chainat, Singburi, Ang Thong, Suphanburi, Phra Nakhon Si Ayudhya, Lopburi, Nakhon Sawan, Saraburi, Nakhon Nayok, Nonthaburi, Pathum Thani, Nakhon Pathom, Uthai Thani, Samut Prakarn, Chaiyaphum, Si Saket, Surin, Buriram, Khon Kaen, Kalasin, Maha Sarakham, Ubon Ratchathani, Nong Bua Lamphu, Nakhon Ratchasima, Roi Et, Songkhla, Satun, Trang, Narathiwat, Pattani, Phatthalung, Yala, Surat Thani, Nakhon Si Thammarat, Krabi, Chumphon, Ranong provinces",15.03,102.2,3873,Km2,Flood,"Riverine flood",--,--,258,8970653,332000,0,,2010-0552
/03/2010,/03/2011,Thailand,THA,"Ang Thong, Chainat, Chaiyaphum, Chiang Rai, Kalasin, Kampaeng Phet, Khon Kaen, Lampang, Loei, Lopburi, Maha Sarakham, Mukdahan, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nan, Nong Bua Lamphu, Nong Khai, Phayao, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Sakon Nakhon, Saraburi, Singburi, Sukhothai, Suphanburi, Udon Thani, Uthai Thani, Uttaradit provinces",,,,Km2,Drought,Drought,--,--,0,6482602,0,0,,2010-9132
23/03/2011,05/04/2011,Thailand,THA,"Nakhon Si Thammarat, Phatthalung, Surat Thani, Trang, Chumphon, Songkhla, Krabi, Phangnga provinces",8.666,99.28,33575,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,64,716110,317000,0,,2011-0083
04/08/2011,06/08/2011,Thailand,THA,"Phrae, Chiang Mai, Sukhothai, Nan, Nakhon Phanom, Lamphun, Lampang, Mae Hon Son, Uttaradit, Phichit, Phitsanulok, Udon Thani, Nong Khai, Sakon Nakhon Loei, Phetchabun provinces",,,,Kph,Storm,"Tropical cyclone",Flood,--,18,1000000,0,0,"Topical storm Juaning (Nock-ten)",2011-0272
05/08/2011,04/01/2012,Thailand,THA,"Phrae, Mae Hong Son, Sukhothai, Chiang Mai, Tak, Nakhon Pathom, Roi Et, Phichit, Udon Thani, Sakon Nakhon, Uttaradit, Phitsanulok, Kampaeng Phet, Nakhon Sawan, Phetchabun, Nakhon Nayok, Phra Nakhon Si Ayudhya, Kalasin, Ubon Ratchathani, Uthai Thani, Chainat, Singburi, Ang Thong, Lopburi, Saraburi, Suphanburi, Pathum Thani, Nonthaburi, Khon Kaen, Si Saket, Surin, Chachoengsao, Phachinburi, Maha Sarakham, Samut Sakhon provinces",17.038,102.82,96785,Km2,Flood,"Riverine flood","Slide (land, mud, sn",--,813,9500000,40000000,10000000,,2011-0326
/06/2011,//2011,Thailand,THA,"Chians Rai, Nan, Phrae, Loei, Nong Khai, Ubon Ratchathani, Mukdahan, Sakon Nakhon, Si Saket, Surin, Chaiyaphum, Amnat Charoen, Kalasin, Nakhon Ratchasima, Buriram, Yasothon provinces (North); Sukhothai, Phetchabun, Phichit provinces (Central); Prachuap Khilikhan, Phetchaburi, Kanchanaburi provinces (West)",,,,Km2,Drought,Drought,--,--,0,0,0,0,,2011-9207
15/08/2012,30/09/2012,Thailand,THA,"Tak, Sukhothai, Phitsanulok, Phichit, Chainat, Ang Thong, Phra Nakhon Si Ayudhya, Suphanburi, Phachinburi, Sa Kaeo, Nakhon Pathom, Chonburi, Rayong, Chachoengsao, Chaiyaphum provinces",17.09,99.64,44011,Km2,Flood,"Riverine flood",--,--,0,235545,0,0,,2012-0375
/04/2012,/08/2012,Thailand,THA,"Lampang, Kamphaeng Phet, Nan, Phayao, Chiang Mai, Sukhothai (Northern provinces); Nong Khai, Si Sa Ket, Khon Kaen, Maha Sarakham, Udon Thani, Chaiyaphum (NorthEast provinces); Phetchaburi, Kanchanaburi, Prachuap Khiri Khan, Chon Buri, Nakhon Nayok, Suphan Buri, Chanthaburi, Chachoengsao, Trat, Phuket provinces. 17 are in the North, 19 in the Northeast, 5 in the central region, 6 in the East and 1 in the South.",,,,Km2,Drought,Drought,--,--,0,12000000,1200,0,,2012-9109
25/07/2013,27/07/2013,Thailand,THA,"Mae Sot district (Tak province)",,,,Km2,Flood,"Riverine flood",--,--,0,0,97000,0,,2013-0263
30/09/2013,14/10/2013,Thailand,THA,"Ang Thong, Chachoengsao, Chainat, Chanthaburi, Chian Rai, Nahkon Nayok, Nakhon Ratchasima, Nakhon Sawan, Pathum Thani, Prachinburi, Phangnga, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Prachuap Khilikhan, Sa Kaeo, Sakon Nakhon, Si Saket, Surin, Tak, Ubon Ratchathani provinces",,101.69,312091,Km2,Flood,"Riverine flood",--,--,61,3500000,482000,0,,2013-0431
20/11/2013,08/12/2013,Thailand,THA,"Nakhon Si Thammarat, Songkhla, Narathiwat, Phatthalung, Trang provinces",7.2182,100.39,38676,Km2,Flood,"Riverine flood",--,--,23,15254,0,0,,2013-0533
/01/2014,/01/2014,Thailand,THA,"Loei, Tak, Nan, Chiang Mai, Nakhon Phanom, Nong Bua Lamphu provinces ",,,2,°C,"Extreme temperature ","Cold wave",--,--,63,1000000,0,0,,2014-0089
01/09/2014,08/09/2014,Thailand,THA,"Sukhothai, Phra Nakhon Si Ayudhya provinces",,,334449.25,Km2,Flood,"Riverine flood",--,--,10,73260,10000,0,,2014-0345
07/11/2014,16/11/2014,Thailand,THA,"Trang province",,,31653,Km2,Flood,"Flash flood",--,--,0,12000,0,0,,2014-0471
/12/2014,/12/2014,Thailand,THA,"Nakhon Si Thammarat, Phatthalung, Narathiwat provinces",,,,Km2,Flood,"Riverine flood",--,--,4,27140,0,0,,2014-0493
13/12/2014,31/12/2014,Thailand,THA,"Krabi, Nakhon Si Thammarat, Narathiwat, Pattani, Phangnga, Phatthalung, Phuket, Satun, Songkhla, Surat Thani, Trang, Yala provinces",,,,Km2,Flood,"Riverine flood",--,--,15,18888,0,0,,2014-0522
16/03/2014,16/03/2014,Thailand,THA,"Chiang Mai, Chiang Rai, Lampang, Lamphun, Mae Hong Son, Nan, Phayao, Phrae, Sukhothai, Tak, Uttaradit provinces",,,,Kph,Storm,"Convective storm",Hail,--,0,2000,0,0,,2014-0537
/03/2014,/03/2014,Thailand,THA,"Ang Thong, Bangkok, Buriram, Chachoengsao, Chainat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chonburi, Chumphon, Kalasin, Kampaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Lampang, Lamphun, Loei, Lopburi, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan
Narathiwat, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayudhya, Phrae, Phuket, Prachuap Khilikhan, Ranong, Ratchaburi, Rayong, Roi Et, Sakon Nakhon, Samut Prakarn, Samut Sakhon, Samut Songkham, Saraburi, Satun, Si Saket, Singburi, Songkhla, Sukhothai, Suphanburi, Surat Thani, Surin, Tak, Trad, Trang, Uthai Thani, Uttaradit, Yala, Yasothon, Amnat Charoen, Nong Bua Lamphu, Phachinburi, Sa Kaeo, Ubon Ratchathani, Udon Thani provinces",,,,Km2,Drought,Drought,--,--,0,0,0,0,,2014-9428
/01/2015,/05/2017,Thailand,THA,"42 provinces. 28 provinces in the North and Northeast",,,,Km2,Drought,Drought,--,--,0,0,3300000,0,,2015-9574
20/01/2016,26/01/2016,Thailand,THA,"Chai Nat Province, Bangkok, Chiang Rai, Phetchabum",,,8.6,°C,"Extreme temperature ","Cold wave",--,--,14,0,0,0,,2016-0023
06/10/2016,16/10/2016,Thailand,THA,"Nakhon Sawan province, Ayutthaya (Phra Nakhon Si Ayudhya province)",14.867,100.395,17187.43,Km2,Flood,--,--,--,4,204000,120000,0,,2016-0360
15/08/2016,16/08/2016,Thailand,THA,"Nan, Phayao, Mae Hong Son, Chiang Rai provinces",,,,Km2,Flood,"Flash flood",--,--,3,22500,0,0,,2016-0378
01/12/2016,10/12/2016,Thailand,THA,"Nakhon Si Thammarat, Krabi, Surat Thani, Songkhla, Phatthalung, Pattani, Chumphon, Trang, Yala, Narathiwat provinces",14.445,100.753,67395.39,Km2,Flood,--,--,--,14,582343,25000,0,,2016-0472
01/01/2017,10/01/2017,Thailand,THA,"Pattani, Yala, Narathiwat, Songkhla, Phattalung, Trang, Nakhon Si Thammarat, Krabi, Surat Thani, Chumphon,  Prachaub Khirikhan, Ranong provinces
",7.305,100.061,50020.11,Km2,Flood,"Riverine flood",--,--,46,1600000,860000,0,,2017-0006
17/07/2017,19/07/2017,Thailand,THA,"Nan (Mae Charim district)",,,,Kph,Storm,"Tropical cyclone",--,--,0,60,0,0,"Tropical Storm Talas",2017-0281
05/07/2017,02/08/2017,Thailand,THA,"Sakon Nakhon, Nakhon Sawan, Lop Buri, Chai Nat, Chanthaburi, Phichit, Phetchabun, Phrae (Den Chai, Song), Uttaradit, Chumphon, Kamphaeng Phet, Nan, Chiang Rai, Chiang Mai, Phayao, Ang Thong, Ranong, Lampang, Nan Yasothan (Pa Tiu), Ayutthaya, Trat, Ubon Ratchathani (Si Muang Mai, Kong Chiam, Nam Yuen), Kalasin, Nakhon Phanom, Chai Nat (Manorom, Han Ka, and Nern Kham)",,,,Km2,Flood,--,"Slide (land, mud, sn",--,23,1000000,0,0,,2017-0316
10/10/2017,08/11/2017,Thailand,THA,"Central plains provinces",14.594,100.679,101670.34,Km2,Flood,--,--,--,9,605000,0,0,,2017-0465
25/11/2017,03/12/2017,Thailand,THA,"Nakhon Si Thammarat, Narathiwat, Pattani, Phatthalung, Satun, Songkhla, Surat Thani, Trang, Yala, Satun, Surat Thani provinces",,,,Km2,Flood,"Riverine flood",--,--,22,385498,0,0,,2017-0516
26/09/1953,26/09/1953,"Viet Nam",VNM,"Southern coast",,,,Kph,Storm,"Tropical cyclone",--,--,1000,0,0,0,,1953-0019
/11/1956,/11/1956,"Viet Nam",VNM,,,,,Kph,Storm,"Tropical cyclone",--,--,56,0,0,0,,1956-0050
/09/1964,/11/1964,"Viet Nam",VNM,"China sea coast",,,,Kph,Storm,"Tropical cyclone",--,--,7000,700000,50000,0,"Iris ",1964-0063
/12/1964,/12/1964,"Viet Nam",VNM,,,,,Km2,Flood,--,--,--,400,0,0,0,,1964-0102
20/09/1966,20/09/1966,"Viet Nam",VNM,"Near Cambodia border",,,,Km2,Flood,"Riverine flood",--,--,31,195902,10000,0,,1966-0070
26/10/1970,26/10/1970,"Viet Nam",VNM,North,,,,Km2,Flood,--,--,--,237,204000,0,0,,1970-0059
01/05/1971,01/05/1971,"Viet Nam",VNM,"Quang Ngai province",,,,Kph,Storm,"Tropical cyclone",--,--,23,50000,0,0,Wanda,1971-0029
23/10/1971,23/10/1971,"Viet Nam",VNM,North,,,,Kph,Storm,"Tropical cyclone",--,--,89,0,0,0,,1971-0057
10/11/1973,10/11/1973,"Viet Nam",VNM,"Binh Dinh",,,,Kph,Storm,"Tropical cyclone",--,--,100,150000,0,0,,1973-0047
22/07/1977,22/07/1977,"Viet Nam",VNM,Haiphong,,,,Kph,Storm,"Tropical cyclone",--,--,0,1000,0,0,Sarah,1977-0088
/08/1978,/08/1978,"Viet Nam",VNM,"Mekong Delta",,,,Km2,Flood,"Riverine flood",--,--,74,4079000,0,0,,1978-0105
23/07/1980,23/07/1980,"Viet Nam",VNM,"Ha Bac, Hai Phong, Hai Hung, Guang Ninh provinces",,,,Kph,Storm,"Tropical cyclone",--,--,132,6624710,0,0,"Joe (n°4)",1980-0068
15/09/1980,15/09/1980,"Viet Nam",VNM,"Thanh Hoa, Nghe Tinh, Ha Ham Ninh provinces",,,144,Kph,Storm,"Tropical cyclone",--,--,176,9027174,0,0,"Ruth (N°6)",1980-0090
/11/1980,/11/1980,"Viet Nam",VNM,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh  provinces",,,,Km2,Flood,--,--,--,94,628000,0,0,,1980-0106
18/10/1982,18/10/1982,"Viet Nam",VNM,"Nghe Tinh, Thanh Hoa Provinces",,,,Kph,Storm,"Tropical cyclone",--,--,70,1300290,0,0,"Nancy (N°7)",1982-0112
/05/1983,/05/1983,"Viet Nam",VNM,Central,,,,Kph,Storm,"Convective storm",--,--,76,0,0,0,,1983-0077
/09/1983,/09/1983,"Viet Nam",VNM,,,,,Kph,Storm,"Tropical cyclone",--,--,578,845324,0,0,"Herbert (N°7), Kim (N°9), Lex (N°10)",1983-0125
05/10/1983,05/10/1983,"Viet Nam",VNM,"Ha Nam Ninh, Ha Son Binh, Thai Binh, Nai Hung, Thanh Hoa, Ha Bac, Hanoi, Vinh Phu, Nghe Tinh provinces",,,,Kph,Storm,"Tropical cyclone",--,--,80,336544,0,0,"Georgia (N°6)",1983-0452
15/04/1984,15/04/1984,"Viet Nam",VNM,"100 km East from Hanoi",,,,Kph,Storm,"Tropical cyclone",--,--,21,1094,0,0,,1984-0035
/10/1984,/10/1984,"Viet Nam",VNM,Central,,,,Km2,Flood,--,--,--,33,38000,0,0,,1984-0090
/11/1984,/11/1984,"Viet Nam",VNM,", Nghe Tinh, Nghia Binh, Thanh Hoa, Ha Son Binh, Ha Nam Ninh, Hanoi, Quang Nam, Da Nag Province",,,,Kph,Storm,"Tropical cyclone",--,--,134,650705,0,0,"Agnes (n°9)",1984-0103
07/09/1985,07/09/1985,"Viet Nam",VNM,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,24680,Km2,Flood,"Riverine flood",--,--,93,2800000,0,0,,1985-0106
23/10/1985,23/10/1985,"Viet Nam",VNM,"Binh Tri Thien, Nghe Tinh provinces",,,,Kph,Storm,"Tropical cyclone",--,--,798,450257,0,0,Cecil,1985-0114
06/09/1986,06/09/1986,"Viet Nam",VNM,"Ha Nam Ninh, Thai Binh, Hason Binh, Haiphong, Quang Ninh provinces",,,120,Kph,Storm,"Tropical cyclone",--,--,435,2502502,0,0,"Wayne (N°5)",1986-0109
03/12/1986,03/12/1986,"Viet Nam",VNM,Central,,,,Km2,Flood,"Riverine flood",--,--,165,0,0,0,,1986-0139
18/11/1987,18/11/1987,"Viet Nam",VNM,"Nghia Binh, Phu Khahu Provinces",,,,Kph,Storm,"Tropical cyclone",--,--,101,937011,0,0,Maury,1987-0200
/12/1987,/12/1987,"Viet Nam",VNM,,,,,Kph,Storm,--,--,--,22,0,0,0,,1987-0363
//1987,//1987,"Viet Nam",VNM,"Northern Provinces",,,,Km2,Drought,Drought,--,--,0,0,0,0,,1987-9029
10/10/1988,10/10/1988,"Viet Nam",VNM,"Nghe Tinh",,,110,Kph,Storm,"Tropical cyclone",--,--,137,600000,0,0,,1988-0460
06/11/1988,06/11/1988,"Viet Nam",VNM,"Dong Nai, Phu Khanh, Thuan Ha provinces",,,,Kph,Storm,"Tropical cyclone",--,--,20,720000,0,0,,1988-0503
24/07/1989,24/07/1989,"Viet Nam",VNM,"Thanh Hoa province",,,,Kph,Storm,"Tropical cyclone",--,--,104,1445491,0,0,Irving,1989-0104
/10/1989,/10/1989,"Viet Nam",VNM,"Nghe Tinh, Binh Tri Thien provinces",,,,Kph,Storm,"Tropical cyclone",--,--,104,4635762,0,0,"Brian, Angela, Dan",1989-0128
25/05/1989,25/05/1989,"Viet Nam",VNM,"Da Nang city (Quang Nam Danang province)",,,,Kph,Storm,"Tropical cyclone",Flood,--,751,336106,21000,0,Cecil,1989-0178
20/06/1990,08/07/1990,"Viet Nam",VNM,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",,,13950,Km2,Flood,"Riverine flood",--,--,82,10200,725,0,,1990-0048
/08/1990,/08/1990,"Viet Nam",VNM,"Ky Anh, Quang Trach, Quang Binh district + Son (Ha Nam Ninh province), Tra Ling (Thai Binh province)",,,,Kph,Storm,"Tropical cyclone",--,--,19,500108,0,0,Becky,1990-0069
15/11/1990,15/11/1990,"Viet Nam",VNM,"Nghe Tinh",,,,Kph,Storm,"Tropical cyclone",--,--,68,0,0,0,,1990-0418
23/10/1990,23/10/1990,"Viet Nam",VNM,"Central Eastern Coast",,,,Kph,Storm,"Tropical cyclone",--,--,15,2000,0,0,,1990-0608
17/08/1991,17/08/1991,"Viet Nam",VNM,"Quanq Bin, Ha Tinh, Than Hoa, Nghe provinces",,,,Kph,Storm,"Tropical cyclone",--,--,17,455921,9500,0,Fred,1991-0210
/08/1991,/08/1991,"Viet Nam",VNM,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,1000,Km2,Flood,"Riverine flood",--,--,21,270600,5000,0,,1991-0229
28/07/1991,31/07/1991,"Viet Nam",VNM,"Son La, Lai Chau provinces",,,30960,Km2,Flood,"Riverine flood","Broken Dam/Burst ban",--,38,4014,3200,0,,1991-0315
28/12/1991,28/12/1991,"Viet Nam",VNM,"Quang Ngai, Quang Nam-Da, Thua Thien-Hue provinces",,,70,Kph,Storm,--,--,--,251,10200,1000,0,,1991-0444
19/09/1991,25/09/1991,"Viet Nam",VNM,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",,,,Km2,Flood,"Riverine flood",--,--,136,21000,38500,0,,1991-0538
15/03/1991,15/03/1991,"Viet Nam",VNM,"Khanh Hoa",,,,Kph,Storm,--,--,--,8,10708,0,0,,1991-0711
13/07/1991,13/07/1991,"Viet Nam",VNM,"Quang Ninh Hai Phong",,,,Kph,Storm,"Tropical cyclone",--,--,21,776,0,0,Zeke,1991-0713
29/06/1992,29/06/1992,"Viet Nam",VNM,"Haiphong, Quang Ninh provinces",,,,Kph,Storm,"Tropical cyclone",--,--,14,47186,400,0,Chuck,1992-0061
23/10/1992,23/10/1992,"Viet Nam",VNM,"Between Thua Thien Hue and Khanh Hoa provinces",,,,Kph,Storm,"Tropical cyclone",--,--,17,32172,18000,0,Angela,1992-0143
05/10/1992,09/10/1992,"Viet Nam",VNM,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",,,569,Km2,Flood,"Riverine flood",--,--,55,51698,47700,0,,1992-0144
28/10/1992,31/10/1992,"Viet Nam",VNM,"Quang Binh, Quang Tri provinces",,,,Km2,Flood,"Coastal flood",--,--,1,58000,0,0,,1992-0145
23/11/1993,23/11/1993,"Viet Nam",VNM,"Phu Yen, Khanh Hoa, Binh Dinh, Dal Lac provinces",,,,Kph,Storm,"Tropical cyclone",--,--,130,11506,15000,0,Kyle,1993-0088
16/03/1993,16/03/1993,"Viet Nam",VNM,"Tuyen Quang province",,,,Kph,Storm,"Convective storm",--,--,3,2016,0,0,,1993-0133
02/10/1993,12/10/1993,"Viet Nam",VNM,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",,,29440,Km2,Flood,"Flash flood",--,--,64,15000,10000,0,,1993-0213
08/12/1993,08/12/1993,"Viet Nam",VNM,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",,,130,Kph,Storm,"Tropical cyclone",--,--,73,25235,50000,0,Lola,1993-0231
04/09/1994,18/12/1994,"Viet Nam",VNM,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",,,65260,Km2,Flood,"Riverine flood",--,--,310,382000,206000,0,,1994-0341
17/09/1994,17/09/1994,"Viet Nam",VNM,"Thanh Hoa, Ninh Binh, Nam Ha, Ha Tay",,,,Kph,Storm,"Tropical cyclone",--,--,30,11000,45000,0,Luke,1994-0658
