sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
/05/2016,/05/2016,Cambodia,KHM,"Banteay Meanchey, Battambang, Pursat, Kampong Speu provinces ",,,,Km2,Drought,Drought,"Water shortage",--,0,2500000,0,0,,2016-9225
25/08/1966,25/08/1966,"Lao People's Democratic Republic (the)",LAO,,,,,Km2,Flood,"Riverine flood",--,--,300,72000,15300,0,,1966-0064
05/09/1968,05/09/1968,"Lao People's Democratic Republic (the)",LAO,"South, along Mekong river",,,,Km2,Flood,--,--,--,2,9600,1280,0,,1968-0072
15/08/1969,15/08/1969,"Lao People's Democratic Republic (the)",LAO,"Vientiane plains",,,,Km2,Flood,--,--,--,0,0,0,0,,1969-0086
17/08/1971,17/08/1971,"Lao People's Democratic Republic (the)",LAO,Vientiane,,,,Km2,Flood,--,--,--,14,115000,200,0,,1971-0048
//1977,//1977,"Lao People's Democratic Republic (the)",LAO,"Southern provinces",,,,Km2,Drought,Drought,--,--,0,3500000,0,0,,1977-9029
/08/1978,/08/1978,"Lao People's Democratic Republic (the)",LAO,"Southern, Central",,,,Km2,Flood,--,--,--,31,459000,0,0,,1978-0107
/07/1981,/07/1981,"Lao People's Democratic Republic (the)",LAO,,,,,Km2,Flood,--,--,--,0,0,0,0,,1981-0011
/09/1984,/09/1984,"Lao People's Democratic Republic (the)",LAO,,,,,Km2,Flood,--,--,--,14,2000,0,0,,1984-0077
//1987,//1987,"Lao People's Democratic Republic (the)",LAO,"Northern provinces",,,,Km2,Drought,Drought,--,--,0,0,0,0,,1987-9028
/12/1988,//1988,"Lao People's Democratic Republic (the)",LAO,"Southern provinces",,,,Km2,Drought,Drought,--,--,0,730000,0,0,,1988-9522
//1991,//1991,"Lao People's Democratic Republic (the)",LAO,"Whole country",,,,Kph,Storm,--,--,--,0,38315,150,0,,1991-0701
/09/1991,/09/1991,"Lao People's Democratic Republic (the)",LAO,"Khammouane, Savannakhet, Champassak",,,,Km2,Flood,"Riverine flood",--,--,0,332000,0,0,,1991-0761
/07/1991,//1993,"Lao People's Democratic Republic (the)",LAO,"Whole country",,,132,Km2,Drought,Drought,--,--,0,0,1000,0,,1991-9195
10/07/1992,10/07/1992,"Lao People's Democratic Republic (the)",LAO,"Whole country",,,,Kph,Storm,"Tropical cyclone",--,--,22,268877,3650,0,"Zeke & Fred",1992-0470
