,COUNTRY,ISO_CC,AREA_SKM,geometry
0,China,CN,4.0,"POLYGON ((99.98315356996324 26.29240678320178, 99.98036928176884 26.2901406156671, 99.97882088767153 26.28932165950386, 99.9779262479147 26.28986636436498, 99.97596661249793 26.29152272287196, 99.97493579652576 26.2915636842435, 99.97218134774107 26.29001312000737, 99.97160626093552 26.28892669422613, 99.9711347982618 26.28303802235112, 99.97181350919942 26.28240895334072, 99.97187915590081 26.28075937651776, 99.97071487638686 26.27986636436501, 99.97014847013685 26.27959943728163, 99.969325987498 26.27903303103164, 99.967347363366 26.27786983658724, 99.96568720711599 26.27633202191706, 99.96269784079652 26.27210079361848, 99.96161005867856 26.27004458702122, 99.96092049704657 26.26643456097956, 99.95954625659522 26.26338415950389, 99.95889901267157 26.26133961740319, 99.95821487638682 26.26097747547608, 99.95537362204658 26.26067528363582, 99.9550150065952 26.26028845637885, 99.9540937826369 26.26058006879208, 99.95357511944246 26.26205928971223, 99.95514521492856 26.26502559830593, 99.95554940329657 26.26840504709064, 99.95598180347019 26.2693216595039, 99.95764847013692 26.27228634049349, 99.95718134774103 26.27341698285457, 99.95599590937303 26.27423241254208, 99.9540937826369 26.27483462608377, 99.95321704652571 26.27564680056291, 99.9532040256924 26.27598751236843, 99.95349265416468 26.27653303103165, 99.95375958124794 26.27709943728165, 99.95643047968548 26.27957393814968, 99.95574091805349 26.28087710655247, 99.95569534513686 26.28202809396566, 99.95604093975493 26.28311940255946, 99.95720684687296 26.2835282024726, 99.95955656475496 26.2834348865004, 99.96015932083128 26.28431080880948, 99.96052498923405 26.28584699587539, 99.96153735902578 26.2865438817261, 99.96394024531048 26.28809525976432, 99.96568720711599 26.29016258832333, 99.96598885642163 26.29299787478165, 99.96879321840072 26.29818966080595, 99.96958206388689 26.29822085655246, 99.96988154305348 26.2976549928372, 99.97038067499801 26.29659705012892, 99.97525100919933 26.2960789294692, 99.97736743715075 26.29411820898306, 99.97769946840077 26.29237721505946, 99.97927932951188 26.29290944162192, 99.9802504666647 26.29353661176086, 99.98127043194245 26.29486636436498, 99.98260560989377 26.29668711089275, 99.98444371753266 26.29867061783722, 99.98565356996323 26.29931080880945, 99.98653193367852 26.29861853450392, 99.98657913419936 26.29742902712538, 99.98375958124797 26.29432165950385, 99.98315356996324 26.29240678320178))"
1,China,CN,7.9,"POLYGON ((99.94647659513686 26.17151051584068, 99.94683195537988 26.16891068945183, 99.94679452048405 26.16795826974696, 99.94803909513683 26.16581173111842, 99.94978280173405 26.16419606271572, 99.95042624791461 26.16319969769829, 99.95210376527581 26.16126610394828, 99.95238262812302 26.15516909874002, 99.95235007603958 26.15435041384414, 99.95268102222025 26.15372432877467, 99.95377043194242 26.15321054839279, 99.95459291458133 26.15264414214279, 99.95710376527575 26.1512661039483, 99.95969979392163 26.14893727365322, 99.95921693801887 26.14663014474689, 99.95964662551876 26.14498979101431, 99.95890769322716 26.14288150108376, 99.95738262812301 26.14025156401777, 99.95704734166463 26.1374526273858, 99.95745749791462 26.13667734526774, 99.95709291458132 26.13598832617049, 99.95663827048406 26.1350245132365, 99.954618956248 26.13407155099689, 99.95445945103967 26.13389956748999, 99.9534818034702 26.13403303103163, 99.95262188593551 26.13433468033725, 99.95170934253269 26.1362680028198, 99.95114510642162 26.13805050064967, 99.9516588868035 26.1400106786011, 99.9505070855883 26.14151268597956, 99.94948060989378 26.14475405967747, 99.94875958124794 26.14681080880945, 99.94818991978968 26.14920203059766, 99.94708748923404 26.1497223213962, 99.94599807951187 26.15029903580594, 99.94486526701189 26.15083343250733, 99.94350296232432 26.15155446115318, 99.94125958124795 26.1520885865872, 99.93997757169933 26.15242468684761, 99.93833531909519 26.1532938274726, 99.93617657343543 26.15494910091012, 99.93285409079658 26.15690222591016, 99.92982674704655 26.15964880794139, 99.92928855260209 26.16078894466011, 99.92877043194238 26.16404388172613, 99.92783510208136 26.16433983441711, 99.92600187725492 26.16426740603168, 99.92519567065773 26.16513763172611, 99.92434985902571 26.1655366660143, 99.92404820972024 26.1669537667087, 99.92461461597026 26.17020734743788, 99.92631112204657 26.17241953276773, 99.92774775399101 26.1723625666219, 99.92979853524099 26.17127749717747, 99.93074471579655 26.17098832617059, 99.93132251527578 26.17161169856634, 99.93125958124801 26.17320837825392, 99.93176847881739 26.17613264040669, 99.93210376527577 26.17708858658722, 99.93246075312294 26.179703332681, 99.93296476787987 26.18016991254206, 99.93348180347016 26.18126610394833, 99.93404820972023 26.18208858658721, 99.93455113940763 26.18420094552822, 99.93723560121327 26.18569969769833, 99.94088143454655 26.18506493207329, 99.94146737204659 26.18260697851429, 99.94214445537989 26.18029252538931, 99.94372377395626 26.17882958051082, 99.94507414287989 26.1769879463962, 99.94569371753272 26.17374467382676, 99.94647659513686 26.17151051584068))"
2,China,CN,36.9,"POLYGON ((100.3037651913644 24.7634193310853, 100.308808682811 24.76337534461207, 100.3204624471113 24.76469015621424, 100.3246849396665 24.76040157711031, 100.3292913086765 24.7557552062062, 100.3342928208145 24.75181373174047, 100.3424239118593 24.75032400756791, 100.3482808496031 24.75381414490829, 100.3541035485015 24.75411590322493, 100.3591195853711 24.75159058211307, 100.3610167205046 24.74767637464328, 100.3641199453658 24.74764815675685, 100.3657218885991 24.75223908822019, 100.3669243975089 24.75577082926922, 100.3673627368754 24.76037234550839, 100.3704390608751 24.7578643405031, 100.3696088194932 24.75291214800588, 100.367223165505 24.74761987464694, 100.3648648007364 24.74480720404013, 100.367917551292 24.74017384479647, 100.3682705367162 24.73698218127117, 100.3728899538105 24.73375150411508, 100.3740301744577 24.73161543151369, 100.377532540867 24.73264610261344, 100.3818224182739 24.73473224313599, 100.3803061741601 24.73793464420832, 100.3872445889158 24.73397362382259, 100.3895481094651 24.73182667246154, 100.3925917393404 24.72648439076292, 100.3964779702143 24.72715678445999, 100.398464668501 24.73138949251418, 100.4023749123497 24.73418711150789, 100.3999803672283 24.72818692896507, 100.3983933783662 24.72501331918113, 100.3941154338296 24.72399034599879, 100.395631166614 24.72078782240474, 100.3994855341001 24.71862628830139, 100.4029797658715 24.71894790999352, 100.4049347116573 24.72034668308127, 100.4065138322289 24.72281175907393, 100.4088247881297 24.72137299344445, 100.4080212560208 24.718900662718, 100.4107279119891 24.71816669085923, 100.4122671327669 24.71708940085324, 100.4114515810555 24.71355439741296, 100.413746307296 24.71069864288597, 100.4137143039825 24.70786479958817, 100.4101844605731 24.70435533503783, 100.4085975530841 24.7011818215429, 100.4069828759089 24.6955286621471, 100.4069072922163 24.68879824925725, 100.4080027720387 24.68276539238487, 100.4126670793839 24.6837843849583, 100.418474506939 24.68302108934137, 100.4208046828652 24.68335332405951, 100.4216041795926 24.68547136625331, 100.4220119781223 24.68723884547185, 100.4286595151284 24.69213547172299, 100.4322056909658 24.69706141196581, 100.4345767294676 24.70093569612641, 100.4360708506691 24.69596167534333, 100.432157091624 24.69281067305695, 100.4286272018513 24.68930163980276, 100.4254811824288 24.68543460230178, 100.4242657514305 24.68084065172957, 100.4254006129652 24.67835000426699, 100.4284979981121 24.67796630103086, 100.4284455316514 24.67336131458678, 100.4315549141362 24.6740402423393, 100.4354396572607 24.67471169488823, 100.4381451847881 24.67397727456893, 100.4405077855762 24.67714303241475, 100.444396742376 24.67816847357224, 100.4412424092611 24.67359331484828, 100.4396592311805 24.67077436336777, 100.4438907739261 24.66789960652177, 100.4493054825139 24.66678465753682, 100.4554953520416 24.66566200740006, 100.4593593211248 24.66456172042972, 100.4577882199107 24.66280564750336, 100.451206788846 24.6635779036646, 100.4434868244098 24.66648642133309, 100.4399980769421 24.66651990779123, 100.4369091370859 24.66761229201937, 100.4350073996415 24.67081888270017, 100.4330529419461 24.66942047282623, 100.4291643372254 24.66839472008579, 100.4268465162737 24.66912529386522, 100.4275855273253 24.66592985436652, 100.427149527826 24.6616827721424, 100.4243758226821 24.65639505733256, 100.4235724738068 24.65392278420101, 100.4282357960932 24.65494133953922, 100.4309773056237 24.65739513709993, 100.4329396377702 24.65950204535312, 100.4321158865188 24.65525867717406, 100.428195486223 24.65139903127766, 100.4297256887562 24.6496131350814, 100.4347602838534 24.64921088511234, 100.437102022537 24.6506055838737, 100.4402190003856 24.65199281601566, 100.4401946139555 24.64986744161349, 100.4351397707425 24.64849872442743, 100.4382039188719 24.64528101710781, 100.4424428077114 24.64311478783878, 100.4451394627059 24.64167181399685, 100.4443235997277 24.63813697455774, 100.4435240711733 24.63601904411409, 100.4474280843184 24.63846138416181, 100.4505734979053 24.64232800822532, 100.4532946326148 24.64301025804222, 100.4560404416517 24.64581781839824, 100.4614788163254 24.64682783304083, 100.4676675743541 24.64570472905191, 100.4703722648374 24.6449697630698, 100.4687971329097 24.64285957173134, 100.4614417067061 24.64363979911225, 100.4583288450308 24.64260723363229, 100.4555830613305 24.63979971305227, 100.4528455961201 24.63770059106129, 100.4500918644251 24.63418450132761, 100.446963001749 24.63173476885198, 100.452384324378 24.63132823319414, 100.4585724282723 24.63020553315027, 100.4616396493565 24.62734161558957, 100.4608399126827 24.6252237846314, 100.459656817197 24.62346393613727, 100.4561364581955 24.62066391954571, 100.4515028792501 24.62212577845067, 100.4507156134836 24.62107056926423, 100.4468406409668 24.62110789365528, 100.4457066693452 24.62359867839881, 100.4461104789888 24.62501187061059, 100.4480602723373 24.62605591462973, 100.4453476816263 24.62608200923684, 100.4437894884657 24.62538843910492, 100.4414847357717 24.62718189246951, 100.4395674399021 24.62897160377692, 100.4383967598703 24.6282742679609, 100.4356760150133 24.62759172877155, 100.4306221227605 24.62622281255632, 100.4286764864303 24.62553276796606, 100.4240182803552 24.62486840594254, 100.4209061577445 24.62383502760497, 100.4166595104628 24.62529217439078, 100.4193841212719 24.62632929833946, 100.4232713379483 24.62735537239433, 100.4275582103753 24.6294403608722, 100.4310499814137 24.62976144142243, 100.4349454764472 24.6314956658568, 100.4349697534838 24.63362105035915, 100.4361485672353 24.63502687190952, 100.4361769190646 24.63750648462698, 100.4358015176624 24.6385728775002, 100.4335044996811 24.64107468279512, 100.4300406474507 24.64323329182859, 100.4277112058898 24.64290116610754, 100.4234599992396 24.64400429517777, 100.4211586217172 24.64615169348538, 100.4180899959752 24.64901484099752, 100.4177384154335 24.65220659085686, 100.415824397921 24.6543502587748, 100.4150731525274 24.656482957588, 100.4150971209602 24.65860835345174, 100.4151210921419 24.66073374869252, 100.4151450660725 24.66285914331043, 100.417486866235 24.66425414376958, 100.4202003147714 24.66422851452508, 100.4217588848259 24.66492230982647, 100.4213953321063 24.66705136592908, 100.4206441185088 24.66918408827571, 100.4210759239463 24.67307696307121, 100.4195172534812 24.6723831658073, 100.4183302326595 24.67026876490831, 100.4152090099948 24.6685268592454, 100.41208787187 24.6667848844188, 100.4082233545214 24.66788397655263, 100.4051062903236 24.66649608508288, 100.404327034644 24.66614910158575, 100.4004703685193 24.66795646503772, 100.4043627312069 24.66933720583097, 100.4078595643195 24.67001300975943, 100.4113564309683 24.67068873050563, 100.4140740202165 24.67101743792834, 100.4172032993902 24.67346782772039, 100.4176230040238 24.67629802037129, 100.4164839985606 24.67843438437664, 100.413778228196 24.67916842394027, 100.4114441551175 24.67848184342719, 100.4098774963898 24.67707948225876, 100.409465925901 24.67495772592476, 100.4067562071045 24.67533740472925, 100.4032909467746 24.67749545051913, 100.4025354039081 24.67927386244467, 100.4017917254727 24.68211497173775, 100.4006484372942 24.68389699480721, 100.3994932501835 24.68461630903744, 100.3975823937043 24.6871140053061, 100.3987534307973 24.68781163948177, 100.4010995043286 24.68956111177378, 100.4022983367014 24.69273834738839, 100.4023379910669 24.69628067590202, 100.4023816196174 24.70017723526732, 100.4004587169874 24.70161227295458, 100.3981440557229 24.70269666831928, 100.3958451486549 24.70519796304306, 100.3974001656372 24.70553775783111, 100.40242128989 24.703719560145, 100.4047597729315 24.70476049201584, 100.4063267400558 24.7061628887202, 100.4063506148157 24.70828827855588, 100.4044475125705 24.71149452798228, 100.402916227389 24.71328020221459, 100.3998297536402 24.71472611500364, 100.3947963097172 24.71548154560119, 100.3913336927877 24.71799359565752, 100.3901584675744 24.71694168328474, 100.3882076614115 24.71589694126732, 100.3847096156708 24.71522073523739, 100.382762792582 24.7145301537947, 100.3811998759127 24.71348174053769, 100.380823806234 24.71454801640715, 100.3831779953564 24.7170062214512, 100.3866957130016 24.71945363162982, 100.3867271214999 24.72228750336681, 100.3859711021881 24.72406584386799, 100.3840711650268 24.72762609571031, 100.3821632937465 24.73047785820295, 100.3802084226695 24.72907878574284, 100.3774779175311 24.72768681390433, 100.3743713130465 24.72736105141747, 100.3670062449651 24.7277826531629, 100.3643106781457 24.72957856577212, 100.3608277633759 24.73031876397032, 100.3577595784396 24.73353503507842, 100.3554746585319 24.73745271167569, 100.356277304644 24.73992535819504, 100.3559240070254 24.74311700576945, 100.3559701263108 24.74736785445299, 100.3540689949628 24.75092776734724, 100.3521370880399 24.75165375847835, 100.3494101886004 24.75061552503416, 100.3474515156527 24.74886178822896, 100.3458808017442 24.74710453960653, 100.3435457592595 24.74641694711035, 100.3373468948481 24.74718094414114, 100.3327033552399 24.74828513660695, 100.3296189209818 24.75008390984398, 100.3261539940859 24.75259453967753, 100.3242331460167 24.75438290331203, 100.3230993711445 24.75722711876134, 100.3196378575296 24.76009185115504, 100.3192312007234 24.75832405810939, 100.3195966896673 24.75619518860339, 100.3195630132963 24.75300700859717, 100.3176009649492 24.75089862336516, 100.314486420185 24.7498631519402, 100.3102156080648 24.74954628122441, 100.3059448116169 24.74922928783953, 100.3051874787354 24.75100727001488, 100.3075187199629 24.75134122116198, 100.311006309442 24.75095646987258, 100.314117130807 24.75163777044098, 100.3164670642032 24.75374279486961, 100.3176420605791 24.75479529180882, 100.3176719537275 24.75762923118229, 100.3153741502231 24.76048362793139, 100.3103307888056 24.76052783062747, 100.3025495814431 24.75847003694598, 100.2978868606476 24.75780195361661, 100.2951822651156 24.75888819330946, 100.2912954510957 24.75821319348516, 100.2846675513829 24.75508167456836, 100.2815349713412 24.75227427374801, 100.2772604927647 24.75160221528908, 100.273000491462 24.75234702858617, 100.2694983055374 24.75131390374831, 100.2644372988066 24.74958529664019, 100.2593728551076 24.74750226161048, 100.255486547166 24.74682630960305, 100.2500521569255 24.74651745868417, 100.2457709411382 24.745135981008, 100.2422691551328 24.74410220172574, 100.2329453022263 24.74276206432415, 100.2247957510251 24.74247460131919, 100.2146997887876 24.74149391110731, 100.2034504701541 24.74158465882829, 100.1941372636645 24.74130486226353, 100.1863454538419 24.73782386225599, 100.1812559036218 24.73290402091403, 100.1738461820298 24.7287107520244, 100.1706835221788 24.72235826623358, 100.1644448895576 24.71886393377677, 100.1582000416354 24.71466079581438, 100.1539175627975 24.71292234327957, 100.1484554828282 24.7094213391877, 100.140311323614 24.70948346216885, 100.1383496859044 24.70701830830835, 100.1383142591558 24.70312135246428, 100.1382659619459 24.69780731843041, 100.1382176785714 24.692493280546, 100.1366184125374 24.68719098959953, 100.1346540063148 24.68437149496532, 100.1342277971523 24.68012318125774, 100.1341893376282 24.67587193527885, 100.1326096794292 24.67269520213297, 100.1317959041069 24.6684497939009, 100.1278903119069 24.66529050941159, 100.1201081778332 24.66216006818873, 100.1166222617466 24.66254031392603, 100.1069459793865 24.66438340803509, 100.1027032653337 24.666894694427, 100.0988263524003 24.66692310363185, 100.0968971877942 24.66800009725351, 100.0961837277416 24.67509126544455, 100.0978183578766 24.68464535764389, 100.0966954205427 24.68925942879633, 100.0951753412099 24.69281349807086, 100.0913500844809 24.69886441280883, 100.0910116723284 24.70453562584721, 100.0933354317953 24.7041644150398, 100.0932890405238 24.69885030012111, 100.0963541584378 24.6945763774401, 100.0978649109284 24.68995947454482, 100.0997695244645 24.68604826632654, 100.1001075241991 24.68037703533567, 100.099645219691 24.67187728108217, 100.1027250672852 24.66937461790556, 100.112386096703 24.66576041272918, 100.1213028638041 24.66569412015686, 100.1271404127946 24.66813050407912, 100.1306647656182 24.67200126591915, 100.1310972069144 24.67695814146437, 100.1307574192413 24.6822751239972, 100.1331254636049 24.68686310010645, 100.1343175703403 24.6900427456312, 100.1351316022024 24.69428812011809, 100.136346336132 24.69994762706988, 100.135234352643 24.70562473907864, 100.1352793257108 24.71058450436315, 100.1372474011379 24.71375823430263, 100.142289204271 24.71371992608408, 100.14770908167 24.71261568014771, 100.1512060336253 24.71329746835804, 100.1543413298463 24.71681628840076, 100.1601884608673 24.71995979182518, 100.164477858409 24.72240658093986, 100.1703254942029 24.72554966779492, 100.1715322173821 24.73014600717727, 100.1769925023219 24.73329184147077, 100.1824564069726 24.73679172700157, 100.1879408121783 24.74241696476278, 100.1902750373852 24.74310701959409, 100.1999898995935 24.74480098220872, 100.207748265778 24.74473865941451, 100.215118689453 24.74467908093219, 100.2170686197288 24.74572611246468, 100.2166979445303 24.74750054611359, 100.2217305736045 24.74639674744689, 100.2287026887038 24.74527689319542, 100.2349163415845 24.74593438594705, 100.2407491635258 24.74730333773836, 100.2438807375725 24.75011163465923, 100.2504826125519 24.75076524792078, 100.2559171883907 24.75107407570059, 100.2637044443388 24.75384284385204, 100.2706981214707 24.75484653044251, 100.2738233110784 24.75694566712991, 100.2788666008591 24.75690269921296, 100.2847003404605 24.75826989803173, 100.291328414044 24.76140140728621, 100.2952226764322 24.76278489253045, 100.2968002701232 24.76525118019947, 100.2999003249239 24.76487002960555, 100.3037651913644 24.7634193310853))"
